Product Id,Product Handle,Product Title,Product Subtitle,Product Status,Product External Id,Product Description,Product Is Giftcard,Product Discountable,Product Thumbnail,Product Collection Id,Product Type Id,Product Weight,Product Length,Product Height,Product Width,Product Hs Code,Product Origin Country,Product Mid Code,Product Material,Product Created At,Product Updated At,Product Deleted At,Product Image 1,Product Sales Channel 1,Variant Id,Variant Title,Variant Sku,Variant Barcode,Variant Ean,Variant Upc,Variant Allow Backorder,Variant Manage Inventory,Variant Hs Code,Variant Origin Country,Variant Mid Code,Variant Material,Variant Weight,Variant Length,Variant Height,Variant Width,Variant Metadata,Variant Variant Rank,Variant Thumbnail,Variant Product Id,Variant Created At,Variant Updated At,Variant Deleted At,Variant Price AED,Variant Option 1 Name,Variant Option 1 Value,Variant Image 1
prod_01KSG23EC1D4XGBAA3F2AGXPR1,dubai-police-car-shaped-backpack,DUBAI POLICE CAR SHAPED BACKPACK,,published,,,false,true,,pcol_01KSA7PBCVZ60RA2B7JCWF26J9,,,,,,,,,,Mon May 25 2026 22:44:43 GMT+0530 (India Standard Time),Mon May 25 2026 22:48:29 GMT+0530 (India Standard Time),,http://localhost:9000/static/1779729563187-DP-38-0001.jpeg,sc_01KRQXN6R7EYGC6TKJ144XP9SP,variant_01KSG23EGTA6R264BKRZFBHFK4,Default,DP-37-0001,,,,false,true,,,,,,,,,,0,,prod_01KSG23EC1D4XGBAA3F2AGXPR1,Mon May 25 2026 22:44:43 GMT+0530 (India Standard Time),Mon May 25 2026 22:44:43 GMT+0530 (India Standard Time),,89,Default,Default,http://localhost:9000/static/1779729563187-DP-38-0001.jpeg
prod_01KSG27E88NPJRBZ8SD6HVW2N2,dubai-police-skyline-sling-bag,DUBAI POLICE SKYLINE  SLING BAG,,published,,,false,true,,pcol_01KSA7NFF8EDSNVNYMDTPPEEA9,,,,,,,,,,Mon May 25 2026 22:46:54 GMT+0530 (India Standard Time),Mon May 25 2026 22:47:41 GMT+0530 (India Standard Time),,/uploads/f1e0d86a-4ee2-4054-b5cc-d22e09603286.png,sc_01KRQXN6R7EYGC6TKJ144XP9SP,variant_01KSG27EF22ST4YA2852E0V0H2,Default,DP-37-0002,,,,false,true,,,,,,,,,,0,,prod_01KSG27E88NPJRBZ8SD6HVW2N2,Mon May 25 2026 22:46:54 GMT+0530 (India Standard Time),Mon May 25 2026 22:46:54 GMT+0530 (India Standard Time),,29,Default,Default,/uploads/f1e0d86a-4ee2-4054-b5cc-d22e09603286.png
